,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
1328,7653923.0,New building,Жулебино,13.0,Moscow region,2.0,54.22,28.6,13.6,16.0,14,Cosmetic
1329,3127229.0,New building,Красногвардейская,13.0,Moscow region,0.0,26.95,15.8,8.9,4.0,20,Cosmetic
1330,7663200.0,New building,Котельники,7.0,Moscow region,2.0,61.8,24.2,21.4,5.0,17,Cosmetic
1331,16000000.0,Secondary,Люблино,5.0,Moscow,3.0,61.2,39.5,8.0,4.0,9,European-style renovation
1332,1941650.0,New building,Алма-Атинская,13.0,Moscow region,0.0,17.3,10.9,8.1,2.0,16,Cosmetic
1333,9095490.0,New building,Депо,19.0,Moscow,1.0,46.17,14.2,18.7,19.0,11,Cosmetic
1334,6986640.0,New building,Котельники,9.0,Moscow region,2.0,54.16,24.0,18.0,21.0,17,Cosmetic
1335,6935956.0,New building,Зябликово,7.0,Moscow region,1.0,36.2,10.1,12.7,9.0,14,Cosmetic
1336,7869314.0,New building,Битца,7.0,Moscow region,2.0,48.44,26.6,10.6,3.0,9,Cosmetic
1337,13400000.0,Secondary,Марьино,11.0,Moscow,2.0,58.1,34.0,11.0,1.0,17,Cosmetic
1338,35000000.0,Secondary,Тропарево,7.0,Moscow,3.0,73.0,44.0,10.0,3.0,17,European-style renovation
1339,10888500.0,New building,Братиславская,13.0,Moscow,2.0,62.22,33.6,11.8,16.0,16,Cosmetic
1340,13300000.0,Secondary,Рассказовка,23.0,Moscow,1.0,42.0,17.0,12.0,3.0,9,European-style renovation
1341,37500000.0,Secondary, Шелепиха,13.0,Moscow,3.0,73.0,22.0,12.7,12.0,30,Designer
1342,84000000.0,Secondary, Шелепиха,18.0,Moscow,0.0,170.0,88.1,20.7,18.0,19,Without renovation
1343,6367040.0,New building,Котельники,3.0,Moscow region,2.0,39.4,23.4,7.4,2.0,17,Cosmetic
1344,45200000.0,Secondary,Динамо,9.0,Moscow,1.0,63.5,21.8,18.6,4.0,19,Designer
1345,9865750.0,New building,Депо,19.0,Moscow,2.0,63.65,24.8,17.9,25.0,11,Cosmetic
1346,6780280.0,New building,Котельники,10.0,Moscow region,2.0,57.46,31.2,11.4,15.0,17,Cosmetic
1347,9650000.0,Secondary, Опалиха,7.0,Moscow region,2.0,52.0,30.0,9.0,8.0,25,Cosmetic
1348,296000000.0,Secondary,Ломоносовский проспект,24.0,Moscow,0.0,238.0,125.0,75.0,3.0,12,Without renovation
1349,12800000.0,Secondary,Алма-Атинская,56.0,Moscow,2.0,54.0,28.1,12.0,12.0,12,Cosmetic
1350,83000000.0,Secondary, Смоленская,12.0,Moscow,4.0,111.0,80.0,20.0,6.0,6,Designer
1351,5843500.0,New building,Котельники,9.0,Moscow region,1.0,37.7,21.2,9.8,22.0,17,Cosmetic
1352,14990000.0,Secondary,Рассказовка,26.0,Moscow,1.0,48.0,20.0,18.0,10.0,12,Designer
1353,19000000.0,Secondary,Новодачная,18.0,Moscow,3.0,78.0,41.6,10.0,15.0,15,Cosmetic
1354,8190722.0,New building,Жулебино,14.0,Moscow region,2.0,55.77,29.8,12.1,17.0,14,Cosmetic
1355,5177526.0,New building,Красногвардейская,12.0,Moscow region,1.0,36.99,15.2,11.7,10.0,20,Cosmetic
1356,12875085.0,New building,Аннино,18.0,Moscow,2.0,84.9,40.9,11.5,9.0,22,Cosmetic
1357,6261410.0,New building,Красногвардейская,11.0,Moscow region,3.0,51.42,28.1,10.9,2.0,20,Cosmetic
1358,6874680.0,New building,Кантемировская,20.0,Moscow,0.0,23.6,11.6,5.9,27.0,14,Cosmetic
1359,56000000.0,Secondary, Славянский бульвар,16.0,Moscow,3.0,146.0,75.9,18.7,11.0,31,Without renovation
1360,3551000.0,Secondary,Новогиреево,4.0,Moscow,0.0,11.0,7.7,7.5,1.0,9,Without renovation
1361,12055650.0,New building,Депо,19.0,Moscow,2.0,67.35,36.2,12.2,10.0,11,Cosmetic
1362,11983673.0,Secondary, Опалиха,7.0,Moscow region,2.0,50.5,27.7,10.8,3.0,6,Cosmetic
1363,2689305.0,New building,Красногвардейская,14.0,Moscow region,0.0,23.43,14.0,8.6,16.0,20,Cosmetic
1364,7900000.0,New building,Зябликово,5.0,Moscow,0.0,25.0,14.8,8.7,4.0,14,Cosmetic
1365,6250000.0,Secondary, Красногорская,14.0,Moscow region,1.0,32.8,13.7,10.2,20.0,25,Cosmetic
1366,5990000.0,Secondary,Чкаловская,13.0,Moscow,0.0,13.3,8.9,7.7,3.0,8,Without renovation
1367,5100000.0,Secondary,Окружная,5.0,Moscow,0.0,20.4,16.0,2.0,4.0,5,Without renovation
1368,175000000.0,Secondary, Новые Черёмушки,12.0,Moscow,6.0,408.0,280.0,25.0,7.0,15,Designer
1369,22600000.0,Secondary,Хорошево,23.0,Moscow,1.0,37.0,20.0,8.0,15.0,27,Designer
1370,6686434.0,New building,Красногвардейская,16.0,Moscow region,3.0,59.14,38.2,6.4,9.0,20,Cosmetic
1371,9550000.0,Secondary,Филатов Луг,41.0,Moscow,1.0,35.0,18.0,9.0,3.0,22,European-style renovation
1372,13406400.0,Secondary, Преображенская площадь,10.0,Moscow,0.0,44.1,30.1,5.0,1.0,4,Designer
1373,145000000.0,Secondary,Минская,12.0,Moscow,5.0,162.0,84.0,20.0,36.0,39,Designer
1374,13990000.0,Secondary,Селигерская,13.0,Moscow,0.0,26.3,15.0,8.8,4.0,45,Designer
1375,75000000.0,Secondary,Аэропорт,5.0,Moscow,4.0,180.0,65.0,21.5,9.0,19,European-style renovation
1376,8471000.0,New building,Депо,19.0,Moscow,1.0,43.0,16.4,13.5,12.0,11,Cosmetic
1377,8267770.0,New building,Зябликово,9.0,Moscow region,2.0,65.8,35.4,12.1,15.0,14,Cosmetic
1378,139000000.0,Secondary,Рабочий Посёлок,13.0,Moscow,5.0,205.0,141.0,16.0,24.0,9,Designer
1379,7448395.0,New building,Красногвардейская,5.0,Moscow region,2.0,56.7,30.8,11.3,1.0,20,Cosmetic
1380,230000000.0,Secondary, Маяковская,11.0,Moscow,5.0,196.8,30.0,22.9,5.0,6,Designer
1381,145000000.0,Secondary, Ломоносовский проспект,13.0,Moscow,5.0,216.6,111.6,24.6,20.0,38,Designer
1382,4840734.0,New building,Жулебино,14.0,Moscow region,2.0,33.58,21.8,3.8,11.0,14,Cosmetic
1383,6800000.0,Secondary,Окружная,3.0,Moscow,0.0,19.0,15.0,2.0,5.0,5,Designer
1384,4520047.0,New building,Жулебино,14.0,Moscow region,2.0,36.33,22.0,6.6,2.0,14,Cosmetic
1385,11781000.0,New building,Депо,19.0,Moscow,3.0,71.4,38.2,12.5,12.0,11,Cosmetic
1386,6090033.0,New building,Красногвардейская,13.0,Moscow region,1.0,47.5,26.1,10.6,14.0,20,Cosmetic
1387,33500000.0,Secondary,Дмитровская,6.0,Moscow,2.0,57.0,31.0,11.4,36.0,58,Designer
1388,8600000.0,New building,Депо,19.0,Moscow,1.0,43.0,23.9,10.2,11.0,11,Cosmetic
1389,7100300.0,New building,Депо,19.0,Moscow,1.0,35.15,19.9,9.5,3.0,11,Cosmetic
1390,14494951.0,Secondary, Опалиха,7.0,Moscow region,2.0,64.2,34.6,12.0,2.0,6,Cosmetic
1391,16900000.0,Secondary,Беляево,18.0,Moscow,3.0,60.2,30.0,8.1,5.0,9,Cosmetic
1392,80000000.0,Secondary,Сетунь,5.0,Moscow,5.0,207.0,105.6,21.0,17.0,24,Designer
1393,18900000.0,Secondary,Савёловская,9.0,Moscow,2.0,50.0,36.0,6.5,5.0,7,Without renovation
1394,34000000.0,Secondary, Зябликово,7.0,Moscow,0.0,71.7,46.0,10.0,30.0,30,Without renovation
1395,10695385.0,Secondary, Опалиха,7.0,Moscow region,1.0,41.7,23.2,10.1,5.0,6,Cosmetic
1396,18800000.0,Secondary,Кантемировская,13.0,Moscow,4.0,89.8,56.1,8.2,3.0,14,European-style renovation
1397,230000000.0,Secondary,Кропоткинская,6.0,Moscow,5.0,304.0,243.0,54.0,4.0,6,Without renovation
1398,11000000.0,Secondary,Кленовый бульвар,4.0,Moscow,1.0,40.9,19.9,9.7,5.0,12,Without renovation
1399,26917086.0,Secondary, Варшавская,14.0,Moscow,4.0,77.74,41.4,13.1,11.0,25,European-style renovation
1400,6772050.0,New building,Котельники,7.0,Moscow region,1.0,44.7,12.2,22.3,15.0,17,Cosmetic
1401,19772639.0,New building,Каширская,4.0,Moscow,3.0,74.35,39.7,12.8,6.0,10,European-style renovation
1402,8737110.0,New building,Братиславская,13.0,Moscow,1.0,45.27,14.2,18.3,15.0,16,Cosmetic
1403,6346716.0,New building,Красногвардейская,5.0,Moscow region,1.0,46.7,25.7,10.5,9.0,20,Cosmetic
1404,13500000.0,Secondary,Некрасовка,17.0,Moscow,2.0,51.2,32.0,10.0,16.0,17,European-style renovation
1405,7876980.0,New building,Братиславская,13.0,Moscow,1.0,45.27,14.2,18.3,7.0,16,Cosmetic
1406,7961100.0,New building,Красногвардейская,5.0,Moscow region,2.0,60.0,32.5,11.6,7.0,20,Cosmetic
1407,7209440.0,New building,Красногвардейская,5.0,Moscow region,2.0,57.4,31.2,8.1,15.0,20,Cosmetic
1408,6678525.0,New building,Красногвардейская,5.0,Moscow region,2.0,52.5,28.7,11.0,2.0,20,Cosmetic
